comment,sentiment,review_rating,author_total_reviews_count
"Nangamso Malepe attending to my query like a BOSS After I posted a bad review its also time to get to something GOOD,  I would just really want to give a MASSIVE thanks to Nangamso Malepe from Carnival Mall Branch,
your service was really wonderful and I hope that the Branch appreciates you  .  You switched my numbers / upgraded my phones without any hassles , yes load shedding caused some issues however you got me sorted anyway , you are  a real star . Telkom always told me that I cant swich my numbers around with my contract being upgraded and changing which plan goes to which SIM but you !!! you got this done like a BOSS",1,5,8
"Telkom Customer Service Masterclass & Mr Prince ****ens Technician Extraordinaire! I had the most out of world experience today (Saturday). I called Telkom at 9am and they said a fault will need to be logged and a technician assigned. At 10:45am on the same day a technician is waiting outside my house. Mr Prince ****ens, the technician attended to my query over the next 3 hours as he had to drive around and rewire cables on 2 telephone poles. He never quit until he made sure the problem was sorted and fixed another minor issue on my telephone line! A real touch of old school class by this kind gentlemen and I am impressed with Telkom's service, only hope they can consistently be this good. Mr ****ens, thank you Sir.",1,5,3
Devigee Tillay I requested a relocation with Telkom and after a week of no communication and frustration due to their systems being down I phoned again. This time I spoke with an agent by the name of Devigee  Tillay (I hope I spelt your name correctly). She managed to solve my issue within the phone call and a few hours later I was finally contacted by a Telkom technician exactly as Devigee had promised. I therefore wanted to commend her for her service. I hope that all you other frustrated Telkom customers get a chance to be helped by Devigee. My 5star rating is therefore not aimed at Telkom but rather at Devigee.,1,5,1
Cellphone contract Bad experience,1,5,1
"My faith in Telkom has been restored Bongi Nomberu From Canal Walk has restored my faith in Telkom

I had no internet for a week with my LTE Router

After a sim swop  the ""technician"" could not find a fault . I left the unit there for a day.

This morning, Bongi Took another modern and sorted the problem out in 10 minutes

Thank you for your excellent service,",1,5,12
EXCELLENT SERVICE I wrote a review on 28/02/2019 complaining about Telkom and on 01/03/2019 my line was upgraded and I received my freebies from Telkom.,1,5,12
"Good customer service I would  like to say a BIG Thank you to Yanga R. I just spoke (01 Mar  13:40PM) to him to assist me on a query i had with my billed invoice. He was patient, kind and understanding i really appreciated his assistance and understanding my confusion that he was able to clarify everything.",1,5,21
"Excellent customer service from Gontse Tembo I made a SIM SWOP request at Telkom mobile - Mall of the South in October 2018, with a follow up at Telkom - Westgate Mall, that was not resolved until January 2019.

I followed up with Telkom- Mall of the South and was duly assisted by Gontse Tembo. She is a model of customer service - she owns an enquiry end to end and gives updates along the way.",1,5,19
Well done Terrick (from Telkom) Terrick from the social media team on MyBroadBand is absolutely amazing. No query goes unanswered and follows up until you are happy. What an asset to Telkom!!,1,5,13
"Telkom Hero A big thank you to Karl Ricks, Technical Support Supervisor. He went beyond his office to facilitate closing my fibre order in sales, resolving set up issues on my D-Link 2562 router and getting me online swiftly.  The world can do well with more people like Karl",1,5,7
Poor Service Telkom I report my telkom line on The 2nd of February. My adsl line and telephone line are not working since then. I locked fault report every day. Till up to date nothing has been done. I need my internet every day at home. I have no Service for The hole month but I have to pay my full account on The end of the month. I am VERY discusted in telkom. They want US to pay for a Service I did not recieve. Please help. Upington Northern Cape,1,5,2
"PATHETIC SERVICE WITH TELKOM CALL CENTRES The service at telkom is pathetic, my dad lodged a request with them last month to inform them that we need to keep our same lan line number as we will be moving house. Someone called yesterday by the name of Tsholoflo, She said she is from the Sunningdale Call centre. She wanted my dad to confirm his ID, I gave her the ID number like 3 times and she says its incorrect , she asked to speak to my dad, when he gave her the number she still saying incorrect. I asked her what is her designation and she gave me the date. How do you have incompetent people working there. I asked for her manager and she gave me Jessie Kock, but refused to give me her number saying she not allowed. Today at 8:20am i called 10214, spoke to  Alice she saying she from the PE branch. I asked her number for Jessie Kock and she put me on hold for 15 minutes until I cut the call.I need someone with brains to calls me today, I am very upset",1,5,11
"If you are done with Telkom. Good Day , 

If anyone struggles with Telkom please give me a call @ 087  654  0100 or send me a mail nadine @ boxfreshtech  .co .za We are a Tear1 one VOIP Supplier and we do wireless internet,fibre depends on the availability in your area.We are 55% less expensive than the market.

Hope to hear from you soon 
:)",1,5,2
Router problems Received excellent service from Joel Nawa @ Menlyn Mall,1,5,1
TELKOM IS THE BEST!!!! Recently joined TElkom and I must say you offer really great data packs.SUPER AMAZING I cant believe I have been missing on such great opportunity,1,5,1
"Am I the only lucky one with TELKOM line faults? Just a quick comment, I neglected to get the technician's name - Telkom Ref 66CWK190219), Maitland area, Cape Town.

I have had my TELKOM ADSL line for well over10 years, and since moving to my new premises (approx 8 years) in which time my ADSL line went down three times.
Yesterday was one of them - I started thinking it may be ISP problem, they checked, determined it to be Telkom and logged a fault on my behalf, estimating time for a technician to be available in approx 48 hrs. I do have a data ****le for backup just in case of times like this, and started buying airtime and trying to get my emails up and running again, when 30 minutes later the Telkom technician walked in!!!!
I know Telkom takes a lot of flak or various issues, but the longest I have ever had to wait with all my TELKOM line issues is one hour! 
That is excellent in my book - credit given where credit is due!",1,5,7
thank you Carla for helping me i want to thank a lady by the name of carla for assisting me with the terrible experience from telkom express greenstone shopping center.  the branch did not want to give me a router after signing the contract. my cry for help was heard. this review is purely for Carla. clearly there good people working at telkom.,1,5,27
"Poor service Hello just wanted to say how dissapointed I am with the service I received from from Telkom, ordered a cell phone last week Friday, they even debited my account after these no form of communication on when my device will delivered, decided call and their sales department their IVR kept me waiting for over an hour, I'm dissatisfied with their poor service.",1,5,4
"Billing Query Resolved I had a billiing problem with Telkom for over 6moths. After lodging calls , sending proof of debits and countless communication to get the issue resolved. Nonhlanhla Nkala came to my rescue.  I have never came across such a team leader at Telkom who took so much pride on who work and keeps her promise. She had advised to keep me updated regarding my query and the moment she received feedback she advised me and Donald from back office assist to have the matter resolved. I got reimbursed for the months which i was not able to use my contrat since my account was suspended. Plus the extra amounts added to the invoice were finally credited I made the right amount due and my service was restored . I was ready to port to another network but it’s people like them that encourage us to stay. As a result am currently planning on continuing to get an upgrade with Telkommobile.  Keep the good work Nonhlanhla and Donald. You guys are mega stars in the company ?⭐️??keep on shining ????",1,5,7
"Fantastic Assistance I would like to thank Noluyola Goba in the Telkom Complaints department for going out of her way to assist me this morning - she is such a sweet lady.  A lot of the Telkom Staff can take a leaf out of her book!  She is awesome!

I had this problem for the last 2 weeks after a call centre agent told me to change something that should not have been changed.  Nolu guided me in sorting out the problem that i've been experiencing with my outgoing emails - now i can send and receive emails again. 

THANK YOU NOLU - YOU ARE AN ANGEL!",1,5,74
Fibre Phoned telkom to have fibre installed. 2 days later installed up and running fantastically,1,5,47
Telkom gives good service I had a great service from Telkom on my line. It was noisy after the rains. Received a call from Matome who helped me check that the fault was not on my side to avoid costs unnecessarily. The next day Benefit was on the ball and sorted out the problem.  Thanks,1,5,17
Excellent Service at Fourways Staff at Telkom Fourways (satisfactorily my service provider for about 3 years)  were so polite & helpful & went the extra mile to sort out a problem seemingly caused by a charge from MTN (my previous non-service provider).  Keep up the good work - you rock☺,1,5,13
"Well done Telkom! Our internet service was suspended due to being behind on payment, I made the full payment  yesterday morning & honestly thought we would be in for a wait! Wake up this morning and our service has been reactivated within 24hours. Well done Telkom & thank you!!",1,5,6
"Exellent Service from Derrick from Telkom We had a problem with our phone lines at Audi Pinetown .I call the call centre ,the lady helped me very efficiently, they were there within 1 hour and worked until the problem was solved .We done Derrick Mthembu .Often we don't take the time to thank the people that go the extra mile .Well done Derrick and TELKOM   11/10!!!",1,5,6
"Telkom is the worst telecommunication company in SA Every since Open Serv installed fiber into our complex our telephone line has not worked.  I have logged call after call after call.  The calls keep on being closed without a technician even bothering to come out to attend to the problem  The last time I called I was told that the call had been closed by Altech in JHB.  I find that absolutely astounding as we live in KZN, just reconfirming that technicians are not coming to site.  To make matters worse we are now being billed for another service in Durban.  Again we have logged compliant after complaint with Telkom.  To date nothing has been resolved.  Telkom has to be the worst telecommunication company in South Africa.",1,5,5
"Telkom Good Service Phoned Telkom technical, requested port recreate and reset for slow internet, was done, i lost connection completely. My request was online via the web interface. The work done disconnected me completely, I revisited the online chat site of Telkom and explained my story and Siphamandla Nazo from the service desk resolved my issue with in 10 min what would have taken few days sending engineer, resetting the router and what have you.
Please Telkom, please give Siphamandla Nazo a tap on the back for assisting and for fixing my speed issue as well.
Well done and thank you.
Hein
5 stars",1,5,8
"Telkom Mall of Africa They are great with what they do, friendly staff and very helpful. I made a mistake last week Friday and just reviewed without thinking  and reviewed them bad but they are the best in what the do.",1,5,8
"BEST OF THE BEST Always a pleasure to go to their outlet @ Somerset West Mall. I have dealt with most of the personnel and today it’s LARNA! [+ ********** 4500] Within minutes YOU grasp what I needed and efficiently dealt thereof. LARNA your self controlled, patient nature fit your dealing with us old folks. Your PR is outstanding and makes a good impression for Telkom in the midst of all the negative tales of so-called suffering. Sorry LARNA that no sms was received to rate your service to us!

To the Telkom management, a big bravo to you and your obvious sifted staff to have just the best in knowledge and public relations. Keep it up!

Kind Regards
HUGO ROHLAND",1,5,11
Thank you Charl Received excellent service from Charls at Telkom. He managed to assist my query that has been going on for months in a matter of seconds. Thanks Charls from the Telkom Social Media Team for going the extra mile for me.,1,5,15
"Excellent Service @SunnyPark and Bad Service @Menlyn I would like to ask Telkom to completely close Menlyn shops.The agents there are useless.Or rather change all of them.Your agents are very rude.I went there several times and the service is the same.Kak.You ask them questions and they dont have answers.Useless.

When i was doin shopping today at Sunny Park.I bumped into a small Telkom Tuck shop.
What surprised me was that the pple at that tuck shop was quite knowledgable and helpful than the guys at Meynlyn Shops.‘n Vrou van Zambië het my gehelp.Ek sal se dit was uitstekende diens.Why do you keep knowledgable pple at a verrander kiosk.So sad.

Whoever manages these stores should please check Menlyn stores.Dit is hoekom mense alyd kla.",1,5,1
Magnificent service After many disappointing services from TelkomSA staff in Pinetown and Gateway Telkom Direct today I went to Gateway Telkom Express I met a friendly knowledgeable lady called Stacey - Lee Dunn and she really made my day...she explained all Telkom packages perfectly...though we (my fiance & I) came to buy cheap phone but she made us feel like loyalty... ???,1,5,15
Great service Finally after months of struggling to get my email to send it was solved yesterday. A technician rang and it was sorted in less than 20 minutes. Thank you Telkom.,1,5,49
"Telkom/Mondo Thank u very much to Kimona Pillay who then called me and helped very much.I am very satisfied with the outcome. My kids are happy with their phones and Wifi rooter. Thank you very very much..Im all smiles.Keep it up

Lerato Thekiso",1,5,3
Great Service I am glad m contract was cancelled in time and I had received y refund after paying two payment in one month.,1,5,32
"Thank you Telkom Been there twice, a bit busy but can see why awesome friendly sales people Somerset West Mall. Thank you.",1,5,12
"Very good services Good Day,  thanks Hello Peter  - send you message on Friday - Telkom send me sms that my account will be credited with the amount that we had the dispute on.  The Cyber Trade has been cancelled also on my account and will wait for the new statement.  Thanks a lot we had problems since September in within three days the problem was solved.  five stars for you guys thanks so much",1,5,4
Agent of the year award goes to Noluthando Dutywa Spoke to Noluthando Dutywa I think from the KZN call centre. Wow I'm blown away by the utmost exceptional service I was given by this lady. When I got to her I had already spoken to 10 agents who weren't patient and friendly at all. Noluthando helped us with our query she even went an extra mile fixed the issues that was created by previous agents then thereafter wanted to make sure that our phone is fully functional.  This lady is an assert and client retainer for Telkom. I honestly salute and honor her passion for her customers. Noluthando you are the best and deserve an agent of the year award.,1,5,3
"Telkom Customer service improving drastically. We tried to cancel our telkom home telephone and ADSL line, we emailed the necessary forms in March 2018 but nothing happened. This week I went onto the live chat function on their homepage. A consultant  replied within seconds. They asked a tedious string of security questions (which I have to admit is needed). After that I was asked to resubmit my cancellation forms. Within the next 2min I received a confirmation that my forms were received and within the hour my phone was dead.

I think they are moving in the right direction with the new customer service head. Never thought I would ever say this but, Good Job Telkom.

Zander",1,5,6
Super service from Telkom mall of Africa Went to Telkom store at mall of Africa and was assisted my a gentleman by the name of Traveshan. This guy is an asset to your company and passion he has for client service is on another level. I was unsure about taking a contract with Telkom but this gentleman was a breath of fresh to the sales transaction. Thank you very Traveshan,1,5,10
"Well done Telkom I would like to say thank you so much Telkom, you have saved me lots and lots of money since i went over to Telkom, they give you much more than any other service provider can offer.  Their rates are very reasonable, and special throughout the year not only on your holidays.  So I say well done Telkom,
And people who are not aware of it go to Telkom and they will assist you straight away they even help you keep your number the same at R1 it was at time i change over, their rate are a quarter of Vodacom and Cell C.",1,5,19
"One Bright Star In a Dark Telkom Black Hole Had a call today from a Pieter at Telkom ADSL/Technical Support this morning, and he was the ONLY one which addressed our ADSL synchronisation issue, after 2 weeks of being told that it is our router that was faulty! We went and sourced another router at considerable cost only to have the same sync issues. After throwing my toys out of the cot yesterday 20/12/2018, a Sinhle at 10210 escalated my fault for the technician who previously told us last week that our router was faulty to come out again. Turns out the error was on Telkom's side - Pieter said he did a simple recreate of our profile"" on their server (or something like that) and voila, we're online again! Why can't more people of Pieter's calibre and competence be employed in their call centre?  Now we have purchased an unnecessary second router, and Telkom surely won't be reimbursing us for this!!",1,5,3
"Compliment Jason Hansen

Was efficient, friendly and got the job done

He helped me with my cancellation and new contracts.

A pleasure to work with.",1,5,9
"Telkom's Billing /. Complaints department I am just as disgusted with Telkoms service as well.
As I was taking out a contract for +- R605 monthly.  Since end of July my account hasn't been more than R500.00+.
As I was under the impression we don't use our phone much, the  amount is correct.

But last month I got an account from July until December, that they haven't charged some things that had to be charged.
As normal NOBODY can assist my ,@ the call centre. I have also been in Telkom with no success.  Now my account is Over R1300???
Am I responsible for Telkom's mistake??
Your help is very much appreciated.
Regards.
Mrs.A. Craucamp
 ********** 247.",1,5,3
"Fraud case Good day 
 I found out a month ago that someone took a phone on my name in Telkom I immediately went to the store and I was advised they opened Incase but my WiFi that I have with Telkom was immediately disconnected till this day I have been calling almost every day and being promised someone will get back to me till now I’m very disappointed with Telkom plus I can’t use the WiFi as a business person it’s very disappointing please help",1,5,1
Excellent service at Telkom Eastgate. Excellent service for the first time from a telkom store. I recently visited telkom Eastgate shopping center. I was helped by the store manager Willem. Sat with him for over an hour and he seen to all my queries whilst opening up a new contract for me. Gave me his personal contact details to contact him with any further queries. I would recommend anyone to visit this store. What a pleasant experience.,1,5,2
"GOOD CUSTOMER SERVICE FROM MR SIHLE MZOBE.  I SALUTE HIM!!!! Call Centre Agent - Mr Sihle Mzobe ( Telkom Mobile in Johannesburg ), thank for your GOOD SERVICE. When I make a call, I was VERY - VERY ANGRY, but because of Mr Mzobe, I am a happy customer of Telkom.

This Gentleman, cooled me down and he understand my frustration. Because of his experience and love for his Job, I SALUTE HIM.

Telkom, people like Mr Mzobe, deserve a Management position. I thank you, Mr Mzobe.",1,5,6
"Nkanyiso Dlamini - Excellent Service I had a problem with being able to use my data, and Nkanyiso Dlamini assisted me at your call centre and he was absolutely excellent. He is a real asset to your firm",1,5,1
"Telkom Cresta Mall - A big 5 for Jabu on client service! For Jabu at the Cresta Mall (small Telkom - new""ish"" shop).

Absolute pleasure, helped and advised without effort. Was a pleasure to go to the shop today. Thank you!",1,5,56
Smooth experience Really smooth experience taking out a new phone contract at the Telkom store. Only waited 10 minutes while my application was processed and approved even as a first time Telkom mobile customer.,1,5,2
"Telkom fibre Telkom fibre was installed and working withing 1 week.
Thank you to the following persons, you did a great job.  Everything went quick and smoothly.
Yvonne Korver - Sales Administrator
Kerryn Porter - Sales Processor
Kenneth Mokwele - Installations Engineer",1,5,23
"Telkom Cradlestone is tops! Thank you Precious Thago from Telkoms Cradlestone branch, for excellent service, going the extra mile to once again securing a contract, giving professional advice, and friendly service.
This lady is a true asset to the store, of which the manager, Vasco, should be really proud of.",1,5,5
"Joshua the Telkom star from Kroonstad The problem with our Telkom ans ADSL line was reported yesterdag afternoon. Today around noon Joshua phoned me to make sure that the line was in perfect order after he fixed it. The telephone was working but still problem with  the internet. Joshua came immediately to our home and after a few calls to his call center, he was able to reset the password and by 13h00 everything was working like clockwork. Thank yiu Joshua for being so professional, friendly and calm.",1,5,8
"Telkom Mobile - Friendly, Fast and Efficient service received. Shopping around for a good deal after weeks of frustration with another service provider giving us absolute poor service, put us in the hands of the very capable staff at the The Grove branch.  From the minute we started explaining our frustrations, to the contract approval, porting of my sons number and the deal we were offered put smiles on the whole families faces.   Every single thing exceeded our expectations and we are very happy to be a Telkom Mobile client.  Well done!!!",1,5,34
"Super quick response I would like to commend Telkom for their super quick response to a ""no service"" complaint logged on line Sunday 25th November at 15H00. Received a knock on the door on 26th November,  the next day at 09H00 by Fortel, sub contractors to Telkom.  Alfred and Lewellyn Lakay sorted out the problem within an hour, service restored. Thanks to Telkom and Fortel staff for their efficiency",1,5,5
"KEEP UP THE GOOD WORK [SHIMI] SOMEONE BY THE NAME OF SHIMI AT TELKOM SHOP IN JABULANE MALL IS ALSO ONE THE BEST, USEFULL AND HELPFUL STAFF MEMBERS . TELKOM NEEDS MORE OF STAFF LIKE SHIMI. I HOPE THEY  [TELKOM] DO SOMETHING POSITIVE AND GOOD TO SHIMI. AND LASTLY BIG-UPS TO SHIMI AT TELKOM SHOP IN JABULANE MALL. KEEP UP THE GOOD WORK SHIMI AND YOUS HOULD HAVE A VERY BRIGHT FUTURE AHEAD OF YOU SHIMI, BECAUSE LOT OF COMPANIES NEED PEOPLE LIKE YOU TO RUN THEIR  CUSTOMER SERVICES .",1,5,38
"Telkom Delivers I recently cancelled my ADSL service with Telkom as I  had upgraded to fibre. After all the bad press I was expecting the worst. However, I am happy to report that Telkom duly cancelled the service and refunded me the additional amount I had paid.

Thank you Telkom!!",1,5,12
"Refiloe Baloyi - What a gem❤️ I have been struggling with connectivity over the past 2 weeks after porting to Telkom and have spoken to several call center agents and I was left frustrated but I must say I was very impressed with Refiloe. She was very thorough in her explanation- she knows her work very well, and she tried to understand my problem to be able to find me the best solution. I loved how respectful and professional she is. She kept telling me what she is doing and how long it will take when putting me on hold. She was just simply the best and very refreshing. She’s definitely one of the best if not the best agent I have spoken to in my life and I hope this will show you that she’s definitely a keeper.",1,5,7
"Nicoleen Shaw, shinning 5 star service To Nicoleen Shaw
You are truly a star that shines bright and worth bragging about.
Not sure where to start, I cancelled my ADSL line on 02/07/2018, the line was cancelled on 03/08/2018, on the 14th August I received an invoice charging R1400 for early cancellations, even though I gave 30 day noticed and the line was cancelled after 30 days.
I called in to query and was informed that it will be reversed, this never happened and I kept on getting the same invoice. I kept on calling, it got escalated about 7 times with no luck, I read on Mybroadband and there was a number to call for these kind of unresolved issues, I called the number and was immediately assisted, Nicoleen Shaw called me back about two hours later, we discussed the situation and, she resolved all outstanding cases on my account, from reversals for down time up until the reversal of the R1400, and now Telkon owes me over R300.
 Aphiwe Gwanya  **********  you are the worse person ever at Telkom, you still working on my case, even after it was resolved by Nicoleen, you should learn from her, or rather leave the company, you are completely useless and bring no value to Telkom.
Nicoleen, you come across as a loving person, mother and wife, you are very caring and most helpful, please keep it up, you make South Africa great, thank you a million for all that you have done, after so many months, it took you less than a day to get everything fixed, I got an sms this morning regarding the payment that is due, all thanks to you, I hope you orginisation, recognise your work and dedication, I wish you all the best, have a wonderful day and all the best of the festive period, thanks a million.
You are my star.
Regards
Travor",1,5,9
Technical issue I called the customer service line at 21:57 asking why is someone else receiving numerous texts from my number saying SIM Changed. The agent could not tell me why and couldn't assist but instead told me to get the person receiving the texts to call them for further assistance.  I mean it is my number that is sending those texts so why couldn't she check on the system as to why that is happening and stop it?,1,5,5
"Great technical support Within minutes of sending a bad review of Telkom I received a call from Phiwo. She was excellent and although it did take more than an hour the problem is solved. She was VERY patient. Thank you,",1,5,49
Excellent service Thokozo Zikhali gave me the best service ever after calling 3 times and talking to people who are unhelpful.  Thank you Mr Zikhali for your efficiency at Telkom and i rate you 10/19,1,5,15
"You definitely need MORE Staff like Silindile Magwenyane!!! I just have to say that for the first time in many years being at a Telkom Store was such a pleasure. I was at the Telkom La Lucia Branch earlier today to upgrade my Contract. I was assisted by SILINDILE MAGWENYANE, who was SO friendly and had a smile on her face the whole time while attending to us unlike most of the Telkom staff that make you feel you are a burden for walking into their store.
She’s very enthusiastic about her job and it showed in the manner in which she answered all of our questions and treated us. She is certainly  fun, friendly and innovative,  hard working and dedicated. Her sterling work ethic is exemplary and sets a standard for others to follow. Silindile Magwenyane's    attitude and Zest for her job is rare to find !!!!  So Telkom please take good care of this lady ...she is definitely  taking good care of you!!! :)",1,5,26
"Great service! I must just say that I was very happy with the service I received feom Telkom. I logged a call to have my adsl moved a few weeks ago and asked if it can be done today as I am moving tomorrow. The technician phoned me this morning and said he would like to come and do it this morning, I met him at the house and it was done promptly. Great service!",1,5,13
Lehlohonolo ???????????? Lehlohonolo from Telkom just resolved my 2 week old query and empty promises....what a gem the way he handled my query is what customer service is all about... Thank you Lehlohonolo,1,5,2
"Good service for a change My experience is not with Telkom as a company because they have made countless costly mistakes on my account but rather the very first consultant to actually listen and care about my dilemma and then resolve it. Chad Daries from The Link Cavendish branch was outstanding in my contact with him, always giving feedback and finally resolving my problems.",1,5,4
Great Service Just want to Share great service I received while visiting the Telkom Mobile Store in East Rand Mall From Doctor Matuang,1,5,38
"WELL DONE TELKOM!!! Hi Telkom Robot!!! apologies for misleading you with the 5 star rating (i'm sure you knew it was to good to be true anyway). you get so many one star ratings, i'm sure you just skip right over those so i had to do something different to get your attention. i'm not going to bore you with my actual complaint, instead, i'd like to congratulate you. you people have taken **** service to the next level, embraced it, in fact,  you have managed to perfect it. instead of actually helping unhappy customers you have created a full proof cycle of b#ll****, an endless runaround complete with automated receptionists and brain dead staff( thanks for employing them btw, somebody had to). sadly, the rest of us are stuck with you. where else are we gonna go hey...",1,5,3
"Kagisho Kambule - Fraud Operations Manager Telkom you are Awesome! This is to say thank you to Kagisho Kambule - Fraud Operations Manager at Telkom for resolving an issue of fraudulent activity on my account that resulted in a new contract on my name. I am now a happy prepaid client! I hear she has been promoted and I feel its well deserved. I hope the rest of Telkom employees learn from your great work ethics. Please commend her on my behalf for clearing the nonsense on my account. 

Thank you very much.",1,5,21
"Telkom - hats off to you ! I have to give Telkom a big shout out for turning the organisation around to a World Class Service organisation. My experience on every level has been beyond my expectation. Even though there were hiccups with my new installation, they cared beyond the call of duty and took the time to follow up and check if all was still running well as few days later. Hats off to you Telkom !",1,5,5
"Telkom taking clients for grated Telkom  sucks big time, for 2  months now they have been deabting R450 in my a count instead of R235 if I go to stores am told to call customer care which u have to hold for 3 hours and a agent ask u to send bank statements which has been 2 month's yet nothing has been resolved.",1,5,2
At last a great help at Telkom After 10 months of battling i got hold of an online customer care person of Telkom named Samukellsiwe and had great help and support and my problem was sorted in no Time. Thank you so much,1,5,3
Great Service Zano Good day on 13th of October I went to the Telkom store in Centurion Mall furious regarding my bill but I has given excellent service by a gentleman by the name of Zano am sorry I forgot his but he sat down with me and explained everything to me in a very great manner all I want to say thank you Zano for the great and excellent customer service and I strongly recommend anyone if they come to your store they must ask for you  thanks again.,1,5,2
"Telkom Volksrust- Alwyn Strydom I would please like to give a big thanks to Alwyn Strydom from Volksrust , our lines got stolen , log the fault and he called and explained what was going on and about how long it will take to get fixed, yesterday (12/10/2018) we got a call and Was informed that the lines where up and running, got home just after 5 and Alwyn was outside our home waiting for us to get home and to check if our internet and everything was right.

This isn't the first time that he has helped out . Thank you Alwyn for the good service , can always depend on you.",1,5,2
